CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
L1;METRO;ALCANTARA;Avda. Apoquindo Frente al 3885;LAS CONDES;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;352191;6301527;-70.5896858425;-33.4154387733
L1;METRO;BAQUEDANO L1;Avda. Providencia 011;PROVIDENCIA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;348189;6299042;-70.633119;-33.437277
L1;METRO;ECUADOR;Avda. Libertador Bernardo O`Higgins Frente al 4620;ESTACION CENTRAL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;341905;6296835;-70.7010856004;-33.4562666496
L1;METRO;EL GOLF;Avda. Apoquindo Frente al Nº3231;LAS CONDES;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;351619;6301383;-70.5958563387;-33.416657734
L1;METRO;ESCUELA MILITAR;Avda. Apoquindo Frente al 4502;LAS CONDES;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;352658;6301661;-70.5846369001;-33.4142908812
L1;METRO;ESTACION CENTRAL;Avda. Libertador Bernardo O`Higgins Frente al 3322;ESTACION CENTRAL;Lunes a Viernes: 5:40 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;343935;6297466;-70.6791487979;-33.4508747721
L1;METRO;HERNANDO DE MAGALLANES;Avda. Apoquindo 7095;LAS CONDES;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;355348;6302399;-70.5555990885;-33.4080065974
L1;METRO;LA MONEDA;Avda. Libertador Bernardo O`Higgins 1330;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;346188;6298170;-70.6547958639;-33.4448550099
L1;METRO;LAS REJAS;Avda. Libertador Bernardo O`Higgins 6056;ESTACION CENTRAL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;341463;6296706;-70.7058707613;-33.4573687921
L1;METRO;LOS DOMINICOS;Avda. Apoquindo 8613;LAS CONDES;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;356326;6302425;-70.5450801049;-33.4078963976
L1;METRO;LOS HEROES L1;Avda. Libertador Bernardo O`Higgins 1774;SANTIAGO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;345548;6297979;-70.661705;-33.446487
L1;METRO;LOS LEONES L1;Avda. Nueva Providencia 2249;PROVIDENCIA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;350439;6300753;-70.6086500598;-33.4221740884
L1;METRO;MANQUEHUE;Avda. Apoquindo Frente al 5875;LAS CONDES;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;354185;6302268;-70.5681256167;-33.409025904
L1;METRO;MANUEL MONTT;Avda. Providencia 1337;PROVIDENCIA;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;349496;6299959;-70.6189163946;-33.4292005093
L1;METRO;NEPTUNO;Avda. Neptuno Oriente frente al 260;LO PRADO;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;339893;6297327;-70.7226457231;-33.4515363785
L1;METRO;PADRE ALBERTO HURTADO;Avda. Libertador Bernardo O`Higgins Frente al 4102;ESTACION CENTRAL;Lunes a Viernes: 6:00 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;348826;6299475;-70.6262085328;-33.4334665259
L1;METRO;PAJARITOS;Avda. General Bonilla 5900;LO PRADO;Lunes a Viernes: 5:40 a 23:00 horas, Sábados: 6:30 a 23:00 horas, Domingos y festivos: 8:00 a 22:30 horas.;340527;6296685;-70.7159366252;-33.4574171848
