CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
59;Serviestado;59-SERVIESTADO;Camino El Alba 11865;LAS CONDES;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;359068;6303229;-70.5162333698769;-33.4010283139606
60;Serviestado;60-SERVIESTADO;AV. LIB. BERNARDO OHIGGINS 622;SANTIAGO;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;347176;6298441;-70.644872;-33.44272566
61;Serviestado;61-SERVIESTADO;AV. AMERICO VESPUCIO NORTE CALETERA ORIENTE 51;MAIPU;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;337412;6293439;-70.750752;-33.486436
66;Serviestado;66-SERVIESTADO;GENERAL ORDONEZ 130;MAIPU;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;336651;6291043;-70.75917383;-33.50796909
74;Serviestado;74-SERVIESTADO;AV. INDEPENDENCIA 3517;CONCHALI;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;344612;6303585;-70.67138398;-33.39605624
112;Serviestado;112-SERVIESTADO;AV. CONCHA Y TORO 1149 LOCAL 60-A Y 60-B;PUENTE ALTO;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;353681;6281158;-70.5774851721172;-33.5995494428859
156;Serviestado;156-SERVIESTADO;ALCALDE PEDRO ALARCON 359;SAN JOAQUIN;Lun a Vie 8:00 a 19:00 Sab 9:00 a 17:00;348517;6293201;-70.6313068416836;-33.490155691717
202;Servipag;202-CRP PROVIDENCIA;HERNANDO DE AGUIRRE 136;PROVIDENCIA;Lun a Vie: 09:00 a 17:30;351214;6301111;-70.60100524;-33.41922206
206;Servipag;206-CRP SAN BERNARDO;OHIGGINS 528 – 2 piso Interior Supermercado Tottus;SAN BERNARDO;Lun a Vie: 09:00 a 19:00 - Sab: 11:00 a 14:00;341940;6281838;-70.7039004651875;-33.5916795375606
213;Servipag;213-APUMANQUE;MAR DE LOS SARGAZOS 5877;LAS CONDES;Lun a Vie: 09:00 a 19:00 / 15:00 a 19:00 - Sab: 10:00 a 14:00;354155;6302159;-70.569010977473;-33.4102508929983
221;Servipag;221-CRP PUENTE ALTO;EYZAGUIRRE 105;PUENTE ALTO;Lun a Vie: 10:00 a 19:00;353907;6279745;-70.575351941;-33.6123414419999
226;Servipag;226-MIRAFLORES;HUERFANOS 599;SANTIAGO;Lun a Vie: 10:00 a 19:00;347096;6298854;-70.645476579007;-33.4391015520811
229;Servipag;229-CRP REPUBLICA;AV. LIB. BERNARDO OHIGGINS 3470 - LOCAL Z-129 Z-131 Z-133;ESTACION CENTRAL;Lun a Dom: 10:00 a 20:00;343687;6297366;-70.6820469259232;-33.4520954959025
250;Servipag;250-CRP ESTADO;AV. LIB. BERNARDO OHIGGINS 855 - LOCAL 21 (GALERIA El REY);SANTIAGO;Lun a Vie: 09:00 a 17:30;346772;6298389;-70.648471;-33.442958
256;Servipag;256-CRP GRAN AVENIDA;GRAN AVENIDA 6150;SAN MIGUEL;Lun a Vie: 09:00 a 21:00 - Sab: 09:00 a 21:00;346146;6290721;-70.65708854;-33.51229164
258;Servipag;258-CRP LA FLORIDA;AV. VICUNA MACKENNA ORIENTE 7110 LOCAL M 13;LA FLORIDA;Lun a Vie: 09:00 a 20:00 - Sab-Dom: 10:30 a 20:00;351399;6290113;-70.6000258343121;-33.5186525387528
302;Servipag;302-MALL PARQUE ARAUCO;AV. KENNEDY 5413;LAS CONDES;Lun a Sab: 10:00 a 21:00 - Dom: 11:00 a 21:00;353478;6303237;-70.57631265;-33.40036695
303;Servipag;303-LIDER EL ALBA;CAMINO EL ALBA  11865;LAS CONDES;Lun a Vie: 10:00 a 14:00 / 15:00 a 19:00 - Sab: 10:00 a 14:00;359068;6303229;-70.5162333698769;-33.4010283139606
304;Servipag;304-JUMBO BILBAO;AV. FRANCISCO BILBAO 4144;LAS CONDES;Lun a Sab: 08:00 a 22:00 - Dom: 09:00 a 22:00;353099;6299758;-70.57874111;-33.43115065
305;Servipag;305-JUMBO ALTO LAS CONDES;AV. KENNEDY 9001;LAS CONDES;Lun a Sab: 08:00 a 22:00 - Dom: 09:00 a 22:00;356319;6304535;-70.54556044;-33.38904057
308;Servipag;308-LIDER MACUL;AV. JOSE PEDRO ALESSANDRI 2127 LOC. 7;MACUL;Lun a Sab: 09:00 a 21:00;351490;6295020;-70.59890147;-33.47415316
310;Servipag;310-MONTSERRAT IRARRAZAVAL;AV. IRARRAZAVAL 1489;ÑUÑOA;Lun a Sab: 09:00 a 21:00;349930;6297322;-70.61544197;-33.45320082
