CODIGO;ENTIDAD;DIRECCION;COMUNA;HORARIO;ESTE;NORTE;LONGITUD;LATITUD
16;ServiPag;AV. SANTA ROSA 13015, LOCAL 3 (Supermercado Santa Isabel);LA PINTANA;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 21:00;348971;6282420;-70.6287687044761;-33.5858661783439
22;ServiPag;AV. PEDRO FONTOVA 5775;CONCHALI;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 21:00;344607;6306099;-70.670887211;-33.372443015
30;ServiPag;LO MARTINEZ 1374;EL BOSQUE;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 21:00;345834;6283934;-70.661661225;-33.573340362
37;ServiPag;AV. PADRE HURTADO 10670;EL BOSQUE;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 21:00;345029;6285485;-70.6700401075645;-33.5591878050873
42;ServiPag;AV. TOBALABA 13949, LOCAL 110 (Supermercado Santa Isabel);PEÑALOLEN;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 21:00;355047;6291822;-70.561206684;-33.50346359
45;ServiEstado;AV. EYZAGUIRRE 3965-3967;PUENTE ALTO;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;349231;6278984;-70.6258666666666;-33.6185541666667
48;ServiPag;AV. AMERICO VESPUCIO NORTE 1955 (Supermercado Líder);MAIPU;Lun a Sab 08:30 a 21:30 Dom y Festivos 09:00 a 21:00;336549;6295067;-70.759683375;-33.47150984
50;ServiPag;AV. LO BARNECHEA 1465;LO BARNECHEA;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 21:00;359829;6308280;-70.507172757;-33.355620107
51;Fullcarga;AV. DOMINGO SANTA MARIA 2730;RENCA;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;343832;6301624;-70.680219629;-33.41368386
52;Fullcarga;AV. INDEPENDENCIA 3187 B;CONCHALI;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;344838;6303385;-70.6690212825476;-33.3979857474878
53;Fullcarga;NUEVA LAS CONDES 12282, LOCAL 105  (Centro Comercial Cantagallo);LAS CONDES;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;358762;6306333;-70.518238249;-33.37325691
54;Fullcarga;AV. PRESIDENTE JORGE ALESSANDRI RODRIGUEZ 522;MAIPU;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 21:00;336275;6293354;-70.76283625256593;-33.487088592673466
56;Fullcarga;ESCANDINAVIA 046;LAS CONDES;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;354426;6302414;-70.5664179652211;-33.406693818368
57;Fullcarga;MAPOCHO 4190;QUINTA NORMAL;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;342767;6299586;-70.692088893;-33.431823555
58;Fullcarga;AV. LA FLORIDA 9385 (Supermercado Santa Isabel);LA FLORIDA;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;354105;6287901;-70.571989853;-33.539708931
60;Fullcarga;AV. VITACURA 6780, LOCAL A-03 (Shopping Los Cobres de Vitacura);VITACURA;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;354319;6304628;-70.566868242;-33.38789697
61;Fullcarga;AV. SAN PABLO 9142;PUDAHUEL;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;336114;6298336;-70.76370119;-33.442133375
62;Fullcarga;PARQUE CENTRAL PONIENTE 1075 Ciudad Satelite;MAIPU;Lun a Sab 08:00 a 21:00 Dom y Festivos 09:00 a 14:00;334184;6285116;-70.787032005;-33.560962703
